text,sentiment
@anitawilliams9570 Cats are clean animals and so smart! I love how they take care of themselves. They're such wonderful pets and companions,positive
The 5th cat is so mischievous and sneaky,negative
"This isn't funny them poor animals could of got hurt really bad , and some most likely did 😔",negative
Slop. It’s pretty funny,positive
Someone stop the third cat it’s making sad,negative
​@Rainybits ai is getting spooky!!   Not disagreeing with your call there. But barrier frustration is a real thing. Theres videos pre AI of dogs separated by fences barking. Then chilling when it opens,negative
These videos are getting old. Same clips over and over again. The editing is annoying and the music in the background is way too loud. Not entertaining anymore.,negative
Some of these clips just aren't funny. The animals look stressed and uncomfortable. People will do anything for views these days without thinking about the animals' wellbeing.,negative
Wow!!!!  Just wow! Thanks for sharing,positive
The look of betrayal!! That's actually really sad. Poor thing didn't deserve that,negative
"Instead of filming your cat, falling off the railing of the second floor, potentially seriously damaging itself, why dont you grab the cat and prevent it?",negative
"The big dog got so scared, he froze in fear.  :-)",negative
Bauer tongue hanging out with the exhausted squint eyes is actually concerning. He looks stressed and tired from dealing with this. Not cool,negative
AI freaking crazy man,negative
"This is not the full video. The groundhog is clever, he sipped water politely and then slowly weaseled into eating the food and then ran away with a nice mouthful.",positive
Beautiful showing love and respect from both sides ❤❤❤,positive
Shows how much dogs do belong outside - it's their element. I feel bad for dogs who are kept inside and don't have the freedom to roam outside when they want to and not on their owner's schedule.,negative
"We had an American pitbull bluenose and he was amazing! Snoopy was such a big sweetheart who loved to play and was obsessed with carrots. He was never aggressive - just a gentle, playful pup. We have so many wonderful memories with him. Planning to get a portrait painted to hang with our family photos because he was such an important part of our lives. Pitbulls get a bad reputation but ours was the best boy! ❤",positive
Yeah 😂 but it iis so funny,positive
That is cruel. You never hit cats. It makes them aggressive.,negative
These scam callers are so annoying and persistent. They won't stop calling no matter what you do.,negative
These animals are so adorable! I love watching videos like this - they always brighten my mood.,positive
BEAUTIFUL CATS 🐈...,positive
"The third one was scary, she really looked like she had been hurt.. that person should have dropped the phone and stopped her.",negative
Cats and dogs compliment each other so well. Comedy gold,positive
